# Notes : 
#Entity List : 3 of 29 Filtered on Flags [Present] 
#Interpretation : Sample  (Non-averaged)
#Experiment : Quant - Green Tea All Compounds_SBAQ_Area
#Data to filter on : Raw Data
#Lower cut-off: 20000.0
#Upper cut-off: 63766108.0
#Entities where at least 3 out of 29 samples have values within cut-off
# Technology : MassHunterQuant.LCMS_IDENTIFIED_COMPOUNDS.Quant All Tea Compounds_2022_Feb_06_15_19_59
# Owner : gxuser
# Created On : Mon Feb 07 10:43:18 MST 2022
Compound	report.results_GT_001_SBAQ_1(raw)	report.results_GT_001_SBAQ_10(raw)	report.results_GT_001_SBAQ_11(raw)	report.results_GT_001_SBAQ_12(raw)	report.results_GT_001_SBAQ_13(raw)	report.results_GT_001_SBAQ_14(raw)	report.results_GT_001_SBAQ_15(raw)	report.results_GT_001_SBAQ_16(raw)	report.results_GT_001_SBAQ_17(raw)	report.results_GT_001_SBAQ_18(raw)	report.results_GT_001_SBAQ_19(raw)	report.results_GT_001_SBAQ_2(raw)	report.results_GT_001_SBAQ_20(raw)	report.results_GT_001_SBAQ_21(raw)	report.results_GT_001_SBAQ_22(raw)	report.results_GT_001_SBAQ_23(raw)	report.results_GT_001_SBAQ_24(raw)	report.results_GT_001_SBAQ_25(raw)	report.results_GT_001_SBAQ_26(raw)	report.results_GT_001_SBAQ_27(raw)	report.results_GT_001_SBAQ_28(raw)	report.results_GT_001_SBAQ_29(raw)	report.results_GT_001_SBAQ_3(raw)	report.results_GT_001_SBAQ_4(raw)	report.results_GT_001_SBAQ_5(raw)	report.results_GT_001_SBAQ_6(raw)	report.results_GT_001_SBAQ_7(raw)	report.results_GT_001_SBAQ_8(raw)	report.results_GT_001_SBAQ_9(raw)	report.results_GT_001_SBAQ_1: Log2(normalized)	report.results_GT_001_SBAQ_10: Log2(normalized)	report.results_GT_001_SBAQ_11: Log2(normalized)	report.results_GT_001_SBAQ_12: Log2(normalized)	report.results_GT_001_SBAQ_13: Log2(normalized)	report.results_GT_001_SBAQ_14: Log2(normalized)	report.results_GT_001_SBAQ_15: Log2(normalized)	report.results_GT_001_SBAQ_16: Log2(normalized)	report.results_GT_001_SBAQ_17: Log2(normalized)	report.results_GT_001_SBAQ_18: Log2(normalized)	report.results_GT_001_SBAQ_19: Log2(normalized)	report.results_GT_001_SBAQ_2: Log2(normalized)	report.results_GT_001_SBAQ_20: Log2(normalized)	report.results_GT_001_SBAQ_21: Log2(normalized)	report.results_GT_001_SBAQ_22: Log2(normalized)	report.results_GT_001_SBAQ_23: Log2(normalized)	report.results_GT_001_SBAQ_24: Log2(normalized)	report.results_GT_001_SBAQ_25: Log2(normalized)	report.results_GT_001_SBAQ_26: Log2(normalized)	report.results_GT_001_SBAQ_27: Log2(normalized)	report.results_GT_001_SBAQ_28: Log2(normalized)	report.results_GT_001_SBAQ_29: Log2(normalized)	report.results_GT_001_SBAQ_3: Log2(normalized)	report.results_GT_001_SBAQ_4: Log2(normalized)	report.results_GT_001_SBAQ_5: Log2(normalized)	report.results_GT_001_SBAQ_6: Log2(normalized)	report.results_GT_001_SBAQ_7: Log2(normalized)	report.results_GT_001_SBAQ_8: Log2(normalized)	report.results_GT_001_SBAQ_9: Log2(normalized)	Compound Name	Retention Time	Measured Retention Time	Product Mass	QualifierMass	CASNumber	CompoundType	ISTDCompoundName	Mass Column
L-ISOLEUCINE**_1.428	1.7712E7	1.7035938E7	2.0275532E7	1.5365725E7	1.343381E7	1.6801808E7	1.7612288E7	2.1075494E7	1.3896915E7	8667443.0	1.8792758E7	1.746029E7	2.0714844E7	1.758279E7	1.8613772E7	2.2035592E7	1.4631415E7	2.3375838E7	1.9617272E7	1.883007E7	2.5800444E7	2.0039876E7	1.9535264E7	1.9731334E7	2.3755558E7	1.5866802E7	1.7183838E7	3.0541574E7	2.6299964E7	24.078222	24.022078	24.273235	23.87321	23.679363	24.002113	24.070078	24.329062	23.728262	23.047174	24.163673	24.057575	24.304161	24.06766	24.149866	24.393332	23.802567	24.478514	24.225622	24.166534	24.620893	24.25637	24.219576	24.233984	24.501762	23.919506	24.034548	24.864271	24.648556	L-ISOLEUCINE**_1.428	1.428	1.39485	132.1018		24629-25-2	Target		0.0
Adenosine_4.092	146348.17	607119.7	1020185.25	1551649.2	407411.6	263613.3	478496.34	59944.477	826037.0	79461.54	142090.66	121821.01	135898.36	119276.766	979414.25	293961.25	1874482.0	910304.5	620585.4	782346.3	375704.22	287043.5	1185807.0	451750.97	241731.8	498881.72	89171.73	132953.66	324625.12	17.159044	19.211622	19.9604	20.565372	18.636127	18.008064	18.868147	15.871339	19.655846	16.27797	17.116451	16.894403	17.052168	16.863955	19.90156	18.165268	20.83806	19.79599	19.243269	19.577448	18.519238	18.13091	20.177439	18.785168	17.883047	18.928337	16.444298	17.020565	18.308414	Adenosine_4.092	4.092	4.08535	268.1042	269.1071	58-61-7	Target		0.0
Rehmaionoside C_7.64	6398.4355	1455.5625	3444.505	1.0E-5	29579.545	2022.8696	3001.029	12399.754	3516.1975	1.0E-5	21447.55	25397.908	3799.149	1.0E-5	1292.956	12559.666	1.0E-5	22693.584	1681.3668	1304.4049	2668.3809	30315.959	471.09195	1.0E-5	22972.65	5419.549	1980.5366	9366.292	21380.943	12.643504	10.507361	11.75008	-16.60964	14.852312	10.982187	11.551241	13.598024	11.7798	-16.60964	14.388525	14.6324215	11.891461	-16.60964	10.336457	13.61651	-16.60964	14.469997	10.715419	10.349175	11.381748	14.88779	8.879865	-16.60964	14.48763	12.403957	10.951675	13.193262	14.384037	Rehmaionoside C_7.64	7.64	7.6782165	411.1992	799.4091	104112-05-2	Target		0.0
Phenyl pyruvic acid_1.827	1.0674177E7	5485058.0	3.9494272E7	4.0230988E7	4.0273104E7	1.2512865E7	7217781.0	4.226022E7	3462700.8	1.3467822E7	4.3356824E7	1.4514606E7	4.480804E7	4.0155124E7	1.1107044E7	1.0193789E7	5.0890508E7	4.4301972E7	1.5859384E7	1.23421E7	1.3628171E7	8944365.0	1.092062E7	7390261.0	4.6426068E7	7893429.0	1.0814719E7	3.6945608E7	8737360.0	23.347622	22.387075	25.235142	25.261805	25.263313	23.576908	22.783123	25.332796	21.723465	23.683012	25.369755	23.791	25.417255	25.25908	23.40497	23.281187	25.600895	25.40087	23.918833	23.557085	23.70009	23.092548	23.380552	22.817194	25.468431	22.91222	23.366493	25.138899	23.058767	Phenyl pyruvic acid_1.827	1.827	1.8384666	182.0811	165.0538	156-06-9	Target		0.0
Pipecolic acid_2.82	5768.1445	1.0E-5	13877.56	1.0E-5	10662.446	1.0E-5	20740.877	7902.9214	13044.266	23157.553	11374.833	18675.094	18259.107	10364.493	13220.818	17975.234	23851.494	14960.828	8246.6455	18791.406	9904.244	20191.201	15930.3125	6734.8643	11607.3545	10269.461	14513.755	9188.638	17027.293	12.493892	-16.60964	13.760467	-16.60964	13.38025	-16.60964	14.340189	12.948171	13.671128	14.499195	13.473558	14.1888275	14.156328	13.339362	13.690523	14.133722	14.541792	13.868902	13.009592	14.197785	13.273831	14.301438	13.959486	12.717433	13.502751	13.326073	13.825133	13.165635	14.055561	Pipecolic acid_2.82	2.82		130.0862	281.1475	535-75-1	Target		0.0
C11 - 0.839	1.2170999E7	1.23467E7	1.4251298E7	1.1668012E7	1.3293888E7	1.4459168E7	1.2168036E7	1.1747596E7	1.1739314E7	1.2462816E7	1.1408662E7	1.2568648E7	1.221335E7	1.2217114E7	1.4211515E7	1.2583439E7	1.3297503E7	1.1317589E7	1.212324E7	1.1811962E7	1.383406E7	1.318919E7	1.3323715E7	1.2257626E7	1.3536963E7	1.2420328E7	1.1405546E7	1.4000219E7	1.2312724E7	23.536943	23.557623	23.76459	23.476055	23.664259	23.78548	23.536592	23.485863	23.484844	23.571127	23.443626	23.583326	23.541956	23.5424	23.760555	23.585024	23.664654	23.432064	23.531271	23.493746	23.721722	23.652853	23.667494	23.547176	23.690401	23.566198	23.443233	23.738947	23.553646	C11 - 0.839	0.839	0.8401833	110.0086	111.0099		Target		0.0
C13 - 1.093	88575.1	116277.28	67781.93	62352.82	43721.836	199120.67	86835.17	114403.43	33273.504	98734.93	65441.574	61339.734	86654.54	117195.67	74756.086	58605.207	94045.16	80778.49	73537.484	40553.58	36819.715	99883.445	68982.07	88922.89	36616.457	174900.23	79895.984	63203.613	122958.97	16.434614	16.82721	16.048613	15.928167	15.416066	17.603283	16.405993	16.803772	15.022086	16.591272	15.99792	15.904534	16.402987	16.83856	16.189903	15.83874	16.521067	16.301683	16.166191	15.307542	15.168192	16.607958	16.073933	16.440268	15.160205	17.416172	16.285835	15.94772	16.907818	C13 - 1.093	1.093	1.0968167	381.0794	382.0832		Target		0.0
C15 - 0.838	9003215.0	9638772.0	1.0477635E7	8724246.0	9790668.0	1.0588387E7	9516995.0	8959424.0	8513096.0	9206984.0	8339947.5	9253902.0	9205108.0	8939364.0	1.0477188E7	9281537.0	9670746.0	8211013.5	9025869.0	9159800.0	1.0229891E7	9782206.0	9799913.0	9690393.0	1.002255E7	9102680.0	8305478.5	1.0290223E7	9039624.0	23.102009	23.200418	23.320808	23.056599	23.222977	23.33598	23.182076	23.094975	23.021252	23.134296	22.991606	23.14163	23.134003	23.091742	23.32075	23.145931	23.205194	22.96913	23.105635	23.126884	23.28629	23.221727	23.224337	23.208122	23.256746	23.11786	22.985632	23.294771	23.107832	C15 - 0.838	0.838	0.8401833	151.0351	152.0368		Target		0.0
Piperidine_1.424	6.1180444E7	5.7270492E7	4.800846E7	6.1709096E7	3.2929592E7	5.821896E7	5.4037484E7	4.151474E7	5.5616704E7	3.37262E7	4.4837044E7	5.809194E7	4.2574328E7	5.4425816E7	5.1159268E7	5.1008804E7	5.9365172E7	5.0401308E7	6.2294076E7	5.8306084E7	3.6621776E7	5.8877752E7	4.8234112E7	4.2101212E7	3.8966088E7	6.3766108E7	4.1851324E7	3.9232736E7	4.1213676E7	25.866568	25.77129	25.516785	25.87898	24.972883	25.794985	25.687458	25.307121	25.729015	25.007366	25.418188	25.791834	25.343481	25.697788	25.608492	25.604242	25.823112	25.586956	25.892591	25.797142	25.126198	25.81122	25.523552	25.32736	25.215717	25.926285	25.318771	25.225554	25.29662	Piperidine_1.424	1.424	1.4362333	86.0964		110-89-4	Target		0.0
L-leucyl-L-proline_2.533	657187.5	838093.0	1061066.8	1035873.1	1351724.8	875465.9	945324.6	825403.5	809954.44	818436.06	768530.8	712661.44	801344.44	769205.06	1304242.9	917999.44	995593.9	898329.0	706763.94	604588.6	1302812.2	1107204.0	1090522.9	1147369.8	875390.3	762804.7	865423.6	1104873.5	835258.3	19.325945	19.67675	20.017084	19.982416	20.36637	19.73969	19.85045	19.65474	19.627481	19.64251	19.551743	19.442858	19.612064	19.553009	20.314781	19.808134	19.925198	19.776884	19.43087	19.205595	20.313198	20.07849	20.05659	20.1299	19.739567	19.540953	19.723047	20.075449	19.671864	L-leucyl-L-proline_2.533	2.533	2.5041666	229.1545	230.1581		Target		0.0
