Product Mass	QualifierMass	Compound	Retention Time	report.results_GT_001_SBAQ_1(raw)	report.results_GT_001_SBAQ_10(raw)	report.results_GT_001_SBAQ_11(raw)	report.results_GT_001_SBAQ_12(raw)	report.results_GT_001_SBAQ_13(raw)	report.results_GT_001_SBAQ_14(raw)	report.results_GT_001_SBAQ_15(raw)	report.results_GT_001_SBAQ_16(raw)	report.results_GT_001_SBAQ_17(raw)	report.results_GT_001_SBAQ_18(raw)	report.results_GT_001_SBAQ_19(raw)	report.results_GT_001_SBAQ_2(raw)	report.results_GT_001_SBAQ_20(raw)	report.results_GT_001_SBAQ_21(raw)	report.results_GT_001_SBAQ_22(raw)	report.results_GT_001_SBAQ_23(raw)	report.results_GT_001_SBAQ_24(raw)	report.results_GT_001_SBAQ_25(raw)	report.results_GT_001_SBAQ_26(raw)	report.results_GT_001_SBAQ_27(raw)	report.results_GT_001_SBAQ_28(raw)	report.results_GT_001_SBAQ_29(raw)	report.results_GT_001_SBAQ_3(raw)	report.results_GT_001_SBAQ_4(raw)	report.results_GT_001_SBAQ_5(raw)	report.results_GT_001_SBAQ_6(raw)	report.results_GT_001_SBAQ_7(raw)	report.results_GT_001_SBAQ_8(raw)	report.results_GT_001_SBAQ_9(raw)	report.results_GT_001_SBAQ_1: Log2(normalized)	report.results_GT_001_SBAQ_10: Log2(normalized)	report.results_GT_001_SBAQ_11: Log2(normalized)	report.results_GT_001_SBAQ_12: Log2(normalized)	report.results_GT_001_SBAQ_13: Log2(normalized)	report.results_GT_001_SBAQ_14: Log2(normalized)	report.results_GT_001_SBAQ_15: Log2(normalized)	report.results_GT_001_SBAQ_16: Log2(normalized)	report.results_GT_001_SBAQ_17: Log2(normalized)	report.results_GT_001_SBAQ_18: Log2(normalized)	report.results_GT_001_SBAQ_19: Log2(normalized)	report.results_GT_001_SBAQ_2: Log2(normalized)	report.results_GT_001_SBAQ_20: Log2(normalized)	report.results_GT_001_SBAQ_21: Log2(normalized)	report.results_GT_001_SBAQ_22: Log2(normalized)	report.results_GT_001_SBAQ_23: Log2(normalized)	report.results_GT_001_SBAQ_24: Log2(normalized)	report.results_GT_001_SBAQ_25: Log2(normalized)	report.results_GT_001_SBAQ_26: Log2(normalized)	report.results_GT_001_SBAQ_27: Log2(normalized)	report.results_GT_001_SBAQ_28: Log2(normalized)	report.results_GT_001_SBAQ_29: Log2(normalized)	report.results_GT_001_SBAQ_3: Log2(normalized)	report.results_GT_001_SBAQ_4: Log2(normalized)	report.results_GT_001_SBAQ_5: Log2(normalized)	report.results_GT_001_SBAQ_6: Log2(normalized)	report.results_GT_001_SBAQ_7: Log2(normalized)	report.results_GT_001_SBAQ_8: Log2(normalized)	report.results_GT_001_SBAQ_9: Log2(normalized)	Compound Name	Measured Retention Time	CASNumber	CompoundType	ISTDCompoundName	Mass Column
102.0546	NA	1-AMINOCYCLOPROPANE-1-CARBOXYLATE**_1.039	1.039	40046.598	53031.887	30424.518	72447.9	22527.541	44527.96	35230.805	16910.361	69090.19	17632.873	18899.156	29796.633	17058.877	39091.594	36502.016	36856.83	64904.105	56027.855	78712.78	32875.47	16918.297	36354	53437.285	19494.268	28360.28	45411.41	14497.945	21310.469	22764.656	15.289392	15.694572	14.892946	16.144657	14.459403	15.442424	15.104549	14.045619	16.076195	14.10598	14.206034	14.862862	14.058235	15.254571	15.155689	15.169644	15.986023	15.773856	16.264309	15.004724	14.046296	15.149826	15.705559	14.250762	14.791584	15.470767	13.823561	14.379274	14.474508	1-AMINOCYCLOPROPANE-1-CARBOXYLATE**_1.039	1.0140333	22059-21-8	Target	NA	0
131.0494	132.053	1-Fluorocyclohexadiene-cis,cis-1,2-diol_2.279	2.279	226173.31	365835.56	130394.37	370484.47	730713.75	933305.2	654021.8	644938.06	687313	706412.6	544063.44	1957756.6	540057.1	154709.89	686636.2	370099.2	1099661	688744.44	321225.38	300455.2	188007.61	868711.1	663670.8	695999.94	1e-5	680888.94	326717.2	644795.4	659703.94	17.78707	18.480837	16.992521	18.499054	19.478947	19.83199	19.31898	19.298801	19.390608	19.430151	19.053415	20.90077	19.042753	17.239206	19.389187	18.497553	20.068628	19.39361	18.293226	18.19679	17.520432	19.728516	19.340109000000002	19.408728	-16.60964	19.37706	18.317682	19.298481	19.331459	1-Fluorocyclohexadiene-cis,cis-1,2-diol_2.279	2.2723668		Target	NA	0
227.128	228.1286	2-(1-Ethoxy-2-hydroxy)propyl-4-methoxyphenol_7.363	7.363	21983.977	19103.723	16473.295	17625.605	21223.133	6254.7183000000005	19329.803	26583.86	20741.688	21483.168	24021.53	17736.336	24400.02	20355.041	5422.666	19420.213	20707.36	1e-5	30651.86	23196.086	20126.48	22392.332	1e-5	20022.938	31527.578	23709.193	32667.836	7491.263	24578.967	14.424164	14.221566	14.007841	14.105386	14.373349	12.610729	14.23854	14.698263	14.340245	14.39092	14.552041	14.114421	14.5745945	14.313098	12.404787	14.245272	14.337856	-16.60964	14.903687	14.501594	14.296807	14.450717	-16.60964	14.289366	14.944326	14.533158	14.995583	12.870993	14.585137	2-(1-Ethoxy-2-hydroxy)propyl-4-methoxyphenol_7.363	NA		Target	NA	0
157.0134	NA	2,5-Furandicarboxylic acid_1.474	1.474	84726.74	106907.586	151247.69	164855.05	1e-5	7217.087	117152.58	1e-5	147796.16	1e-5	1e-5	1e-5	1e-5	117060.3	7919.3574	104532.625	15828.257	112145.055	83800.11	21855.943	6015.8267	1e-5	129083.82	1e-5	604.2609	68747.16	1e-5	1e-5	118133.2	16.37053	16.706005	17.206553	17.33084	-16.60964	12.817201	16.838028	-16.60964	17.173248	-16.60964	-16.60964	-16.60964	-16.60964	16.836893	12.951167	16.673594	13.950214	16.775005	16.354664	14.415738	12.554547	-16.60964	16.97795	-16.60964	9.239028	16.069012	-16.60964	-16.60964	16.850056	2,5-Furandicarboxylic acid_1.474	1.5273	3238-40-2	Target	NA	0
777.3111	778.3153	2,7-Dideacetyl-2,7-dibenzoyl-taxayunnanine F_9.347	9.347	1911.6484	1e-5	61599.125	1e-5	1e-5	53404.926	1e-5	5927.928	63890.2	1e-5	1e-5	994.99	1e-5	10574.04	120121.13	805.40515	45482.13	2064.7832	4532.3022	1e-5	45784.137	1e-5	70319.414	1e-5	1e-5	69879.43	77948.82	51629.46	1771.0981	10.900601	-16.60964	15.910623	-16.60964	-16.60964	15.704685	-16.60964	12.533313	15.963307	-16.60964	-16.60964	9.958538	-16.60964	13.368239	16.87413	9.65357	15.473012	11.011775	12.1460285	-16.60964	15.48256	-16.60964	16.101635	-16.60964	-16.60964	16.09258	16.250238	15.655907	10.790428	2,7-Dideacetyl-2,7-dibenzoyl-taxayunnanine F_9.347	NA		Target	NA	0
145.0485	289.0894	3-Methylglutaconic acid_2.213	2.213	22331.076	50230.883	38810.285	15570.925	26655.775	23933.508	4587.409	15523.837	45880.363	3285.319	3939.981	34369.402	26633.86	51878.836	25263.072	23283.412	27638.049	1e-5	1e-5	34619.316	7708.1724	17705.324	1e-5	30570.346	9962.93	42354.145	14936.109	14851.051	15023.464	14.446766	15.616287	15.244151	13.926567	14.702161	14.546743	12.163464	13.922197	15.485589	11.681818	11.943974	15.068838	14.7009735	15.662859	14.6247425	14.507014	14.754368	-16.60964	-16.60964	15.07929	12.912172	14.1118965	-16.60964	14.899845	13.282355	15.370216	13.866517	13.858278	13.87493	3-Methylglutaconic acid_2.213	NA	5746-90-7	Target	NA	0
146.0926	NA	4-GUANIDINOBUTANOATE**_1.4	1.4	38775.168	25104.19	4443.2563	37243.28	21207.67	6055.915	1e-5	11653.282	41909.293	17116.41	23733.041	32688.812	21306.01	43828.6	10582.028	32107.434	40196.17	26251.598	5931.4893	3068.3403	17570.088	24704.037	19269	1e-5	20853.65	17740.385	25827.977	18435.656	26383.914	15.242846	14.61564	12.117402	15.184692	14.372298	12.564129	-16.60964	13.508449	15.354982	14.063093	14.534609	14.996509	14.378973	15.419584	13.3693285	14.970619	15.29477	14.680117	12.534178	11.583243	14.100834	14.59246	14.2339945	-16.60964	14.348012	14.11475	14.656648	14.170211	14.68737	4-GUANIDINOBUTANOATE**_1.4	1.4114	13890-14-7	Target	NA	0
348.0706	349.0737	5'-Adenosine monophosphate_1.642	1.642	3282301.8	6591378	8235889.5	9681461	4716256	4684095.5	6629386.5	3214442.8	3178791.2	3074871.8	2512914.2	2755927.8	4512157	4392795.5	5781426	2342998.8	10600000	4117757.8	9657040	4299993	3936684.5	2624745	8867258	4095227.8	5560708.5	4790021	1413030	8110278.5	2418883	21.646276	22.65215	22.973494	23.206795	22.16921	22.159338	22.660444	21.616137	21.600046	21.552095	21.26093	21.394106	22.105385	22.066708	22.462994	21.159925	23.331335	21.973429	23.20315	22.035904	21.908548	21.323746	23.080057	21.965513	22.406837	22.1916	20.43036	22.95132	21.20591	5'-Adenosine monophosphate_1.642	1.6514833		Target	NA	0
173.139	174.1449	Acetylagmatine_2.216	2.216	19666.39	1e-5	1466.4312	12532.127	1e-5	25618.824	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	20678.803	1e-5	1e-5	1e-5	1e-5	20110.12	2333.558	907.0552	1e-5	1e-5	33897.715	1e-5	1e-5	1e-5	1e-5	1e-5	14.263444	-16.60964	10.518094	13.613343	-16.60964	14.6449175	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	14.335866	-16.60964	-16.60964	-16.60964	-16.60964	14.295634	11.188315	9.825047	-16.60964	-16.60964	15.048901	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	Acetylagmatine_2.216	NA	3031-89-8	Target	NA	0
136.0619	NA	Adenine_2.163	2.163	12398.171	38902.44	352891.06	396875.38	176904.56	32816.766	352584.6	18329.88	270317.72	303790.66	201057	234123.22	311910.34	89920.234	226060.61	21062.463	382065.72	316095.94	282251.06	174521.75	12517.691	184779.08	390907.56	209337.34	215023.53	189720.52	197839.61	13358.863	271439.38	13.59784	15.247573	18.428864	18.598326	17.432611	15.002146	18.427608	14.16191	18.044296	18.212717	17.617245	17.836908	18.25077	16.456358	17.78635	14.362387	18.54346	18.270002	18.106619	17.413046	13.611681	17.495441	18.576468	17.67547	17.714134	17.533516	17.593973	13.705509	18.05027	Adenine_2.163	2.1316333	73-24-5	Target	NA	0
136.0614	NA	Adenine_6.72	6.72	15482.4375	28161.355	31692.848	16606.242	8573.149	11654.197	1e-5	13656.082	11927.336	11946.018	10217.405	1e-5	1e-5	1e-5	1e-5	1e-5	21098.629	1e-5	1e-5	12985.442	1e-5	1e-5	1e-5	56617.652	1e-5	10112.519	6939.0557	16622.451	7728.662	13.918345	14.781428	14.95187	14.019438	13.06561	13.508562	-16.60964	13.737256	13.541984	13.544242	13.318741	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	14.3648615	-16.60964	-16.60964	13.664608	-16.60964	-16.60964	-16.60964	15.788965	-16.60964	13.303854	12.760524	14.020845	12.916003	Adenine_6.72	6.7096334	73-24-5	Target	NA	0
147.0289	NA	Allyl disulfide_1.474	1.474	155538.53	188845.03	279037.7	200150.05	1e-5	1e-5	212009.48	1e-5	276369.3	1e-5	1e-5	1e-5	1e-5	175716.27	1e-5	166804.06	102631.4	224302.69	137438.66	119417.48	811.3377	1e-5	207684.89	1e-5	1e-5	110677.875	1e-5	1e-5	224517.2	17.246912	17.526842	18.090101	17.610722	-16.60964	-16.60964	17.69377	-16.60964	18.076239	-16.60964	-16.60964	-16.60964	-16.60964	17.422888	-16.60964	17.347795	16.647114	17.775087	17.068428	16.865654	9.664159	-16.60964	17.664036	-16.60964	-16.60964	16.756006	-16.60964	-16.60964	17.776466	Allyl disulfide_1.474	1.5521333	2179-57-9	Target	NA	0
162.0759	NA	alpha-Aminoadipic acid_1.728	1.728	14344.755	28508.604	41391.914	52177.33	61069.07	35128.164	60533.145	40459.918	18553.17	58208.066	57322.54	60134.227	50653.42	28625.36	12060.429	28181.299	8031.0957	68721.24	98798.99	33082.89	76812.19	81350.266	36609.008	34331.297	1e-5	24366.643	39635.023	39755.3	37809.04	13.808235	14.799109	15.337062	15.671135	15.898154	15.100341	15.885438	15.304206	14.179378	15.828931	15.806815	15.875898	15.628371	14.805007	13.557994	14.782451	12.971381	16.068468	16.592209	15.013798	16.229048	16.31186	15.159911	15.067236	-16.60964	14.572619	15.2744875	15.27886	15.206443	alpha-Aminoadipic acid_1.728	1.6928667	542-32-5	Target	NA	0
134.0446	NA	Aspartic Acid**_1.029	1.029	14552.871	19472.3	16402.508	22793.664	9803.216	19978.35	14480.648	10706.831	21100.396	12703.62	11918.072	12158.311	8231.721	35299.668	17826.486	18640.781	15329.169	23837.82	26378.914	13171.363	7347.224	12727.245	20307.709	14109.373	11397.066	17113.412	5582.3804	7592.8286	14156.963	13.829017	14.249135	14.001629	14.476345	13.25904	14.28615	13.821838	13.386244	14.364983	13.632952	13.540863	13.569655	13.006978	15.1073675	14.121735	14.186174	13.903993	14.540965	14.687097	13.685118	12.842983	13.6356325	14.309739	13.784367	13.476375	14.0628395	12.446665	12.890422	13.789224	Aspartic Acid**_1.029	NA	25608-40-6	Target	NA	0
182.0789	341.1687	Betonicine_4.389	4.389	1e-5	80444.16	1e-5	1e-5	11764.717	1e-5	4033.0247	1e-5	1e-5	1e-5	1e-5	1e-5	10427.049	22230.914	22725.502	1e-5	1e-5	5288.4175	31498.695	12049.498	12558.226	1e-5	1e-5	8802.754	1e-5	12747.921	8248.527	6195.6436	1e-5	-16.60964	16.2957	-16.60964	-16.60964	13.522179	-16.60964	11.977647	-16.60964	-16.60964	-16.60964	-16.60964	-16.60964	13.3480425	14.44028	14.472025	-16.60964	-16.60964	12.368621	14.943005	13.556685	13.616345	-16.60964	-16.60964	13.103739	-16.60964	13.637974	13.009921	12.597038	-16.60964	Betonicine_4.389	NA	515-25-3	Target	NA	0
427.158	428.1605	Bruceine H_7.226	7.226	40317.867	64311.97	72229.94	60923.17	51483.484	52718.09	64968.28	41724.56	65348.047	43762.996	38540.496	29657.07	49328.8	53913.594	88928.445	52799.37	62676.367	52518.723	70327.43	96087.14	77174.7	44957.54	73761.836	79540.03	33421.863	53774.25	58291.438	59216.195	32124.51	15.299132	15.972799	16.140308	15.894704	15.651822	15.68601	15.987448	15.34861	15.995856	15.417423	15.234087	14.856089	15.590142	15.718361	16.440357	15.688232	15.935635	15.680544	16.1018	16.552055	16.23584	15.456275	16.170588	16.279394	15.028504	15.714628	15.8309965	15.853704	14.971387	Bruceine H_7.226	7.2311835	105532-18-1	Target	NA	0
371.1675	372.1705	C1015 - 8.912	8.912	1e-5	37292.79	56781.023	1e-5	8989.047	1e-5	1193.122	2790.9214	2168.4785	4461.996	1e-5	2231.193	532.88403	1e-5	1e-5	2086.935	4312.349	1334.7102	1e-5	1e-5	749.95825	1e-5	10154.062	20931.043	5271.1562	21402.158	1e-5	9205.476	2093.022	-16.60964	15.186608	15.793121	-16.60964	13.133952	-16.60964	10.220526	11.446526	11.082468	12.123474	-16.60964	11.1236	9.057677	-16.60964	-16.60964	11.02717	12.074258	10.382311	-16.60964	-16.60964	9.550667	-16.60964	13.309769	14.353357	12.363904	14.3854685	-16.60964	13.168277	11.031372	C1015 - 8.912	NA		Target	NA	0
110.0086	111.0099	C11 - 0.839	0.839	12200000	12300000	14300000	11700000	13300000	14500000	12200000	11700000	11700000	12500000	11400000	12600000	12200000	12200000	14200000	12600000	13300000	11300000	12100000	11800000	13800000	13200000	13300000	12300000	13500000	12400000	11400000	14000000	12300000	23.536943	23.557623	23.76459	23.476055	23.664259	23.78548	23.536592	23.485863	23.484844	23.571127	23.443626	23.583326	23.541956	23.5424	23.760555	23.585024	23.664654	23.432064	23.531271	23.493746	23.721722	23.652853	23.667494	23.547176	23.690401	23.566198	23.443233	23.738947	23.553646	C11 - 0.839	0.8401833		Target	NA	0
144.0658	166.0474	C1115 - 2.507	2.507	22581.46	14603.587	13026.267	15377.914	7895.5864	17802.748	11097.879	6371.5645	1e-5	6286.7026	21023.736	13894.339	9824.656	15068.049	1e-5	11121.825	23631.254	24890.42	1e-5	6613.6167	8598.228	30713.213	10572.227	16044.482	5084.5557	19664.107	7588.599	18391.63	10043.039	14.462851	13.834035	13.669136	13.908572	12.946831	14.119813	13.437997	12.637432	-16.60964	12.618088	14.359732	13.76221	13.262192	13.879205	-16.60964	13.441106	14.528409	14.603303	-16.60964	12.691223	13.069823	14.906571	13.367991	13.96979	12.311907	14.263276	12.889618	14.166761	13.293908	C1115 - 2.507	2.5124333		Target	NA	0
281.1073	282.1094	C1137 - 6.176	6.176	22973.291	39021.117	28843.629	25744.758	25579.504	17396.01	38981.473	20960.443	34327.855	13734.065	24167.916	33067.996	31575.621	16056.672	41588.145	39323.895	33638.22	30470.479	24119.33	35233.1	25913.191	41618.973	1e-5	15821.713	24912.404	40856.016	35740.062	21121.877	33910.27	14.48767	15.251967	14.815966	14.65199	14.6427	14.086469	15.250501	14.355382	15.067092	13.745471	14.560805	15.013148	14.946524	13.970885000000001	15.343884	15.263119	15.037813	14.895124	14.557902	15.104643	14.661399	15.344954	-16.60964	13.949618	14.604577	15.318261	15.125255	14.366451	15.049434	C1137 - 6.176	6.16325		Target	NA	0
204.0631	407.1157	C1257 - 1.829	1.829	140833.17	142950.61	152429.89	160510.25	167525.84	171897.6	105032.68	96280.44	96615.44	126989.31	470968.56	124177.77	118732.24	121465.664	129117.74	132754.28	173404.12	159008.47	127050.87	102700.23	108185.5	118015.95	83261.28	118377.67	198876.4	1e-5	67665.86	81821.54	102624.76	17.103628	17.125156	17.217785	17.292307	17.354023	17.39119	16.68048	16.554955	16.559965	16.954348	18.845272	16.922047	16.857353	16.890188	16.978329	17.018398	17.403778	17.278744	16.955048	16.64808	16.723146	16.848623	16.345358	16.853039	17.601513	-16.60964	16.04614	16.320192	16.647018	C1257 - 1.829	1.8336		Target	NA	0
213.0985	235.0803	C1287 - 5.388	5.388	9755.187	16315.175	23753.047	6997.6978	26736.766	6378.2905	30930.533	28495.172	36356.273	29722.488	21834.55	5821.0415	25949.783	6165.075	31803.346	24709.168	39015.902	29500.547	6012.776	26600.88	33098.582	33243.438	32868.227	1e-5	26247.412	24370.494	14213.434	23116.992	22988.406	13.251954	13.993927	14.535825	12.772664	14.706538	12.638954	14.916744	14.79843	15.149918	14.859266	14.414326	12.507061	14.663435	12.589903	14.956891	14.592758	15.251775	14.8484535	12.553816	14.699186	15.014482	15.0207815	15.004406	-16.60964	14.679888	14.572848	13.794968	14.496667	14.488619	C1287 - 5.388	NA		Target	NA	0
381.0794	382.0832	C13 - 1.093	1.093	88575.1	116277.28	67781.93	62352.82	43721.836	199120.67	86835.17	114403.43	33273.504	98734.93	65441.574	61339.734	86654.54	117195.67	74756.086	58605.207	94045.16	80778.49	73537.484	40553.58	36819.715	99883.445	68982.07	88922.89	36616.457	174900.23	79895.984	63203.613	122958.97	16.434614	16.82721	16.048613	15.928167	15.416066	17.603283	16.405993	16.803772	15.022086	16.591272	15.99792	15.904534	16.402987	16.83856	16.189903	15.83874	16.521067	16.301683	16.166191	15.307542	15.168192	16.607958	16.073933	16.440268	15.160205	17.416172	16.285835	15.94772	16.907818	C13 - 1.093	1.0968167		Target	NA	0
262.1642	263.1665	C1353 - 2.21	2.21	460322.78	1491429.1	2347666.5	1617940.6	1807168.5	1961880.8	2024977.1	934201.8	1716261	1443788.2	1237620.4	1465771.8	1659737.5	229025.31	1360589.1	1491819.2	2012361.8	1609905.2	1709267.6	1103645.9	2203522	2084512.8	1686158.8	1359797.2	1930750.5	1257104.4	1152128.4	1431925.4	1851744.5	18.812286	20.508265	21.162796	20.625727	20.7853	20.903807	20.949474	19.833374	20.710836	20.461428	20.239138	20.483229	20.662523	17.805147	20.3758	20.50864	20.940458	20.618544	20.704947	20.073845	21.07138	20.99128	20.685308	20.37496	20.88073	20.261673	20.13587	20.449526	20.820454	C1353 - 2.21	2.1978667		Target	NA	0
