Searched by ion,Searced by name,Product Mass,QualifierMass,Compound,Retention Time,report.results_GT_001_Lipid_1(raw),report.results_GT_001_Lipid_10(raw),report.results_GT_001_Lipid_11(raw),report.results_GT_001_Lipid_12(raw),report.results_GT_001_Lipid_13(raw),report.results_GT_001_Lipid_14(raw),report.results_GT_001_Lipid_15(raw),report.results_GT_001_Lipid_16(raw),report.results_GT_001_Lipid_17(raw),report.results_GT_001_Lipid_18(raw),report.results_GT_001_Lipid_19(raw),report.results_GT_001_Lipid_2(raw),report.results_GT_001_Lipid_20(raw),report.results_GT_001_Lipid_21(raw),report.results_GT_001_Lipid_22(raw),report.results_GT_001_Lipid_23(raw),report.results_GT_001_Lipid_24(raw),report.results_GT_001_Lipid_25(raw),report.results_GT_001_Lipid_26(raw),report.results_GT_001_Lipid_27(raw),report.results_GT_001_Lipid_28(raw),report.results_GT_001_Lipid_29(raw),report.results_GT_001_Lipid_3(raw),report.results_GT_001_Lipid_4(raw),report.results_GT_001_Lipid_5(raw),report.results_GT_001_Lipid_6(raw),report.results_GT_001_Lipid_7(raw),report.results_GT_001_Lipid_8(raw),report.results_GT_001_Lipid_9(raw),report.results_GT_001_Lipid_1: Log2(normalized),report.results_GT_001_Lipid_10: Log2(normalized),report.results_GT_001_Lipid_11: Log2(normalized),report.results_GT_001_Lipid_12: Log2(normalized),report.results_GT_001_Lipid_13: Log2(normalized),report.results_GT_001_Lipid_14: Log2(normalized),report.results_GT_001_Lipid_15: Log2(normalized),report.results_GT_001_Lipid_16: Log2(normalized),report.results_GT_001_Lipid_17: Log2(normalized),report.results_GT_001_Lipid_18: Log2(normalized),report.results_GT_001_Lipid_19: Log2(normalized),report.results_GT_001_Lipid_2: Log2(normalized),report.results_GT_001_Lipid_20: Log2(normalized),report.results_GT_001_Lipid_21: Log2(normalized),report.results_GT_001_Lipid_22: Log2(normalized),report.results_GT_001_Lipid_23: Log2(normalized),report.results_GT_001_Lipid_24: Log2(normalized),report.results_GT_001_Lipid_25: Log2(normalized),report.results_GT_001_Lipid_26: Log2(normalized),report.results_GT_001_Lipid_27: Log2(normalized),report.results_GT_001_Lipid_28: Log2(normalized),report.results_GT_001_Lipid_29: Log2(normalized),report.results_GT_001_Lipid_3: Log2(normalized),report.results_GT_001_Lipid_4: Log2(normalized),report.results_GT_001_Lipid_5: Log2(normalized),report.results_GT_001_Lipid_6: Log2(normalized),report.results_GT_001_Lipid_7: Log2(normalized),report.results_GT_001_Lipid_8: Log2(normalized),report.results_GT_001_Lipid_9: Log2(normalized),Compound Name,Measured Retention Time,Product Mass,QualifierMass,CASNumber,CompoundType,ISTDCompoundName,Mass Column
found  ,,453.335,431.3525,"(22Z,24S)-Cerevisterol_4.476",4.476,1032960.9,570222.4,657080.56,756630.4,597979.56,777643.44,619973.94,164512.11,95063.92,100521.984,139485.28,280634.88,543524.2,684130.25,521850.12,229347.06,147677.88,145316.39,763993.5,403378.88,552397.75,177743.67,88142.3,902005.06,329554.72,300478.38,598438.1,743916.5,181265.4,19.978354,19.121164,19.32571,19.529228,19.189735,19.568748,19.241848,17.327833,16.536612,16.617151,17.089754,18.098333,19.051985,19.383911,18.993275,17.807173,17.172094,17.148838,19.5432,18.621777,19.075348,17.439438,16.427547,19.782776,18.330158,18.196901,19.190842,19.504782,17.467745,"(22Z,24S)-Cerevisterol_4.476",4.46,453.335,431.3525,,Target,,0
not found ,,751.4613,753.4815,?-Hederin_1.738,1.738,56219.617,32061.193,29988.643,24094.19,13393.443,33747.46,40663.445,25715.555,36043.316,32899.45,173402.27,85215.516,16266.699,36613.867,18214.88,28569.715,20011.121,25390.502,125622.836,36520.043,47943.168,64270.094,19697.963,31749.717,45171.695,59638.383,25489.217,28533.639,21692.205,15.778787,14.96854,14.8721285,14.556398,13.709239,15.042491,15.311444,14.650353,15.137444,15.005775,17.403763,16.378828,13.9896345,15.160103,14.152829,14.802198,14.288514,14.632002,16.93874,15.156401,15.549038,15.97186,14.2657585,14.954455,15.463132,15.863954,14.637599,14.800376,14.404888,?-Hederin_1.738,1.7102166,751.4613,753.4815,27013-91-8,Target,,0
not found ,,619.545,620.5536,16:3 Cholesteryl ester_7.312,7.312,1087695.1,1038337,1054205.4,1521625.5,809276.06,657136.75,517858,778937.4,533179.2,1200322.9,795776.5,803418.1,792509,989681.9,1377866.9,873194.94,1226241.1,461879.4,794575.2,445193.4,729296.2,1754325.5,723692.25,808766.44,552570.6,1145902.9,735149.2,1538784.2,1699662.5,20.052843,19.985844,20.007725,20.537182,19.626272,19.325834,18.982197,19.571148,19.024261,20.194992,19.602003,19.615791,19.596067,19.916605,20.394005,19.735945,20.225811,18.817158,19.599823,18.764072,19.476145,20.742485,19.465017,19.625364,19.0758,20.128054,19.487677,20.553358,20.696817,16:3 Cholesteryl ester_7.312,7.13525,619.545,620.5536,,Target,,0
not found ,,311.1834,312.1863,2-(1-Ethoxy-2-hydroxy)propyl-4-methoxyphenol-2-methyl-butyrate_1.111,1.111,109131.9,63306.66,145057.73,154949.45,146848.6,58678.758,258731.2,71081.75,96873.516,69075.99,105118.43,117369.94,84247.35,87872.47,71228.38,38814.72,133712.58,102595.875,81199.83,69035.9,108828.29,83709.96,102738.66,172518.73,171588.45,102928.11,73162.84,121480.81,172466.9,16.735712,15.95007,17.146267,17.241438,17.16397,15.84055,17.981094,16.117191,16.563814,16.075897,16.681656,16.840704,16.362345,16.423124,16.120165,15.244316,17.028776,16.646614,16.309189,16.075058,16.731693,16.353111,16.648619,17.396393,17.388594,16.651278,16.158823,16.89037,17.39596,2-(1-Ethoxy-2-hydroxy)propyl-4-methoxyphenol-2-methyl-butyrate_1.111,1.0724666,311.1834,312.1863,,Target,,0
not found ,,749.5198,750.5213,20-Deoxynarasin_4.939,4.939,103360.67,78818.6,76945.875,63655.99,74719.8,56543.348,95905.766,102677.805,107512.53,80071.414,132782.03,106767.22,67364.24,49099.11,99498.1,99640.914,96272.69,92017.016,50375.094,58557.035,70691.47,116638.59,120032.01,113813.72,86412.2,98113.74,76953.6,74536.305,91644.02,16.657328,16.266249,16.231556,15.958009,16.189203,15.787069,16.54933,16.647764,16.714146,16.289,17.0187,16.70411,16.039696,15.58341,16.60238,16.60445,16.55484,16.489613,15.620423,15.837555,16.10925,16.831686,16.87306,16.796316,16.398947,16.582169,16.2317,16.185656,16.483753,20-Deoxynarasin_4.939,4.7001834,749.5198,750.5213,70022-35-4,Target,,0
not found ,,891.7061,893.7141,22:3-Glc-Stigmasterol_7.436,7.436,41924.105,119020.89,605769.75,242689.47,565397.5,155549.6,149242.03,437438.12,410624.3,406342.34,389183.72,99107.47,343293.75,34141.49,325395.78,522942.62,19893.385,363102.66,224217.94,56423.566,413654.1,26971.787,471641.9,59957.2,637930.06,159564.64,591309.06,565215.4,160218.95,15.355493,16.860855,19.20841,17.888752,19.108906,17.247015,17.187294,18.73872,18.647459,18.632336,18.570093,16.596706,18.389084,15.059238,18.311836,18.996292,14.280002,18.470018,17.774542,15.784011,18.658064,14.719164,18.847332,15.871646,19.28304,17.283781,19.173553,19.10844,17.289686,22:3-Glc-Stigmasterol_7.436,6.9199,891.7061,893.7141,,Target,,0
not found ,,519.2949,520.2969,"2alpha,5alpha,10beta-Triacetoxy-14beta-propionyloxytaxa-4(20),11-diene_1.622",1.622,9865363,1.01E+07,9624171,1.01E+07,9646937,1.02E+07,9452224,9461608,9489358,9761279,9304313,9938759,9242183,9511014,9456282,9687340,9517363,9770368,9530793,9726328,9098167,9374993,9564596,9822864,9463031,1.00E+07,9529566,9257958,9440185,23.23394,23.268969,23.19823,23.271961,23.20164,23.285904,23.172222,23.173655,23.17788,23.218637,23.149467,23.244633,23.139803,23.181168,23.17284,23.207668,23.18213,23.21998,23.184164,23.213465,23.117146,23.160387,23.189274,23.227713,23.17387,23.258816,23.183979,23.142263,23.170383,"2alpha,5alpha,10beta-Triacetoxy-14beta-propionyloxytaxa-4(20),11-diene_1.622",1.6025333,519.2949,520.2969,,Target,,0
not found ,,285.1317,286.1349,2-Phenylethyl beta-D-glucopyranoside_0.54,0.54,119708.62,109575.63,126006.586,118021.32,83725.75,74056.37,58342.066,80037.305,77456.66,95441.71,107666.49,104824.984,70130.1,44963.117,108232.48,50716.99,97486.04,71967.71,89143.484,68115.625,95675.766,93683.234,99987.81,136721.52,109288.984,155139.28,163139.02,127545.82,125816.57,16.869167,16.741568,16.94314,16.848688,16.353384,16.176336,15.83225,16.288385,16.241102,16.542334,16.71621,16.677622,16.097746,15.456455,16.723774,15.630181,16.572908,16.135063,16.443842,16.055698,16.545866,16.515503,16.609465,17.06088,16.73779,17.243204,17.315742,16.960657,16.940962,2-Phenylethyl beta-D-glucopyranoside_0.54,0.5423833,285.1317,286.1349,18997-54-1,Target,,0
not found ,,239.0895,240.0953,"3,4,5-Trimethoxy cinnamic acid_0.672",0.672,62592.668,184112.45,233595.83,44854.58,125411.97,45864.12,128917.516,37897.82,125590.24,56949.32,98233.61,61286.11,112377.76,85891,53801.453,255174.08,277392.8,106275.84,85250.375,117886.31,176604.72,130167.06,51934.76,164110.69,173678.22,150650.3,118675.78,237645.5,244470.7,15.933705,17.490229,17.833654,15.452968,16.936316,15.485079,16.976088,15.209827,16.938364,15.797391,16.58393,15.903273,16.777998,16.390219,15.715358,17.961123,18.081572,16.697454,16.37942,16.847036,17.430164,16.990005,15.6644125,17.324308,17.406057,17.200844,16.856667,17.858452,17.899302,"3,4,5-Trimethoxy cinnamic acid_0.672",0.6749,239.0895,240.0953,,Target,,0
found  ,,549.4092,550.4124,"3,4-Dehydrolycopen-16-al_3.412",3.412,33593.926,41987.38,53593.29,76230.28,63631.797,35927.266,52041.598,53951.047,44919.6,64183.22,60056.3,88217.77,38726.42,54035.555,47208.844,54899.84,51862.945,50096.777,45273.47,56253.133,37431.137,50024.12,42261.938,66271.62,79972.914,66183.71,44455.027,50491.44,70231.46,15.035913,15.357668,15.7097645,16.218077,15.957459,15.1327915,15.667377,15.719363,15.455057,15.969909,15.874027,16.428782,15.241031,15.721622,15.52677,15.744515,15.6624155,15.61243,15.466378,15.779646,15.191951,15.610337,15.367071,16.016104,16.287224,16.014189,15.440059,15.623752,16.09983,"3,4-Dehydrolycopen-16-al_3.412",3.5240834,549.4092,550.4124,,Target,,0
