Sample	SampleID		Melatonin_pos 	NAM 	Pyridoxal and Isopyridoxal 	Anthranilic Acid 	Kynurenic acid 	Metanephrine 	3-hydroxy-athranilic acid (3-HAA) 	Serotonin 	Xanthurenic Acid 	Dopamine 	N-Methylnicotinamide 	Phenylalanine 	L-Kynurenine 	Picolinic acid 	N-Formylkynurenine 	Tryptophan 	5-Hydroxyindole-3-acetic acid (5-HIAA) 	Glycyl-Phenylalanine 	3-Hydroxy Kynurenine 	Tyrosine 	5-Hydroxytryptophan 	Arginyl-Phenylalanine 	GABA 	NAD+ 
	LLOQ (ng/ml)		7.8132	62.5022	125.0027	1000.025	31.2511	78.1269	500.0125	62.5022	62.5022	125.0027	7.8132	64.8431	31.2511	500.0125	62.5022	80.0785	500.0125	31.2511	250.0071	71.094	125.0027	7.8132	160.9424	31.2511
GF-B  June-PL.d	23	2/5/22 0:11	0	336.8	0	0	8.96	0	0	316.96	19.53	0	19.42	15596.29	93.86	0	21.33	29511.92	0	0	0	22359.55	0	0.32	60.2	8.02
GF-N June-PL.d	9	2/5/22 4:37	0	347.06	0	0	8.04	0	0	230.5	23.08	0	21.85	16301.74	111.62	0	0	33083.14	0	0	0	26870.65	0	0	47.04	6.74
GF-R  June-PL.d	25	2/5/22 1:33	0	419.71	0	0	12.63	0	0	226.05	24.9	0	27.58	21581.74	139.25	0	20.76	49121.13	0	0	0	32986.88	0	0.44	86.47	47.95
GF-1 July-PL.d	14	2/5/22 3:36	0	1048.33	0	0	22.46	0	0	517.48	38.72	0	55.57	28810.47	113.5	0	32.19	46919.84	0	0	0	43410.85	0	0	94.77	101.52
GF-2 July-PL.d	1	2/5/22 6:20	0	1087.36	0	0	24.06	0	0	609.64	37.62	113.75	64.51	30071.95	137.67	0	0	51384.03	0	31.98	0	44795.05	0	0	76.54	28.05
GF-3  July-PL.d	4	2/5/22 3:15	0	802.87	0	0	25.18	0	0	526.6	45.42	108.73	60.15	23893.77	158.83	0	0	36844.15	0	0	0	25070.18	0	0	103.83	23.24
GF-L  Aug-PL.d	21	2/4/22 21:27	0	526.61	7.27	0	8	0	0	826.38	45.43	0	24.01	19176.81	77.56	0	0	53636.75	0	0	0	23961.51	0	0.34	72.54	84.86
GF-N  Aug-PL.d	26	2/4/22 22:28	0	566.83	0	0	5.62	0	0	1478.56	45.87	0	24.25	21263.41	90.66	0	18.54	52933.54	0	0	0	33963.84	0	0.5	78.55	87.45
GF-R  Aug-PL.d	12	2/5/22 8:02	0	324.69	0	0	3.81	0	0	1799.26	29.44	0	11.28	18161.23	71.81	0	17.66	50667.37	0	0	0	21993.94	0	0	49.04	26.4
GLD063-N-PL.d	18	2/5/22 0:31	0	669.47	61.2	0	9.47	0	0	3746.29	36.2	0	48.77	32125.58	172.06	0	17.46	42324.13	0	0	0	26321.01	0	0	67.1	5.32
GLD063-R-PL.d	3	2/5/22 2:34	0	989.37	0	0	8.06	0	0	1184.57	22.1	0	45.63	24069.39	120.95	0	28.26	39175.31	0	0	0	22586.55	0	0	43.67	0.67
GLD066-B-PL.d	17	2/5/22 6:40	4.4	259.23	253.81	0	9.25	0	0	134.26	16.28	0	12.17	15042.24	92.17	0	0	30537.07	0	0	0	23590.1	0	0.38	67.36	0
GLD066-N-PL.d	29	2/5/22 3:56	0	489.16	0	0	11.25	0	0	250.58	23.84	0	27.08	20515.64	101.75	0	0	32500.94	0	0	0	29222.83	0	0	42.04	7.32
GLD074-N-PL.d	2	2/4/22 22:49	0	416.09	0	0	5.91	0	0	625.62	22.24	0	21.39	17768.78	103.07	0	0	40197.74	0	0	0	29074.64	0	3.53	73.01	64.03
